CT,TPAD,TPAN,TPAN2,TWAD,TWAN,TWAN2,TMAD,TMAN,TMAN2
512000,1168,334,274,651,188,153,517,146,121
512800,749,155,129,438,99,78,311,56,51
512900,642,158,128,364,93,74,278,65,54
513800,1197,283,233,701,185,143,496,98,90
514000,1230,263,210,755,177,136,475,86,74
515100,1480,336,268,849,208,163,631,128,105
515200,1042,257,204,607,151,112,435,106,92
515300,978,276,228,606,189,153,372,87,75
515401,1177,233,193,689,142,117,488,91,76
516100,731,139,117,397,70,58,334,69,59
516200,977,178,124,534,96,70,443,82,54
517000,942,290,239,542,158,130,400,132,109
518001,2053,623,481,1181,363,284,872,260,197
519000,1810,566,452,963,281,227,847,285,225
520001,1700,628,475,926,350,265,774,278,210
520002,1735,528,410,956,284,228,779,244,182
521100,2519,698,547,1360,363,280,1159,335,267
521200,2200,617,493,1211,319,249,989,298,244
521301,2147,605,472,1235,361,267,912,244,205
521302,2242,588,455,1219,304,239,1023,284,216
521401,1401,425,362,780,233,200,621,192,162
521402,2276,616,463,1192,285,219,1084,331,244
521500,2348,744,586,1260,377,309,1088,367,277
522000,1881,408,349,1057,226,188,824,182,161
523100,2233,703,531,1313,446,328,920,257,203
523200,2253,601,444,1305,358,252,948,243,192
523300,2155,601,476,1188,351,271,967,250,205
523400,2803,823,625,1616,500,368,1187,323,257
523501,2579,805,607,1413,438,329,1166,367,278
523502,872,224,169,502,133,104,370,91,65
523600,2677,892,681,1497,510,395,1180,382,286
523701,2366,736,598,1302,383,311,1064,353,287
523702,2932,891,695,1647,504,400,1285,387,295
523800,2681,861,658,1470,470,352,1211,391,306
524000,1377,339,269,735,177,149,642,162,120
525100,1139,278,230,645,153,135,494,125,95
525200,1182,392,305,680,241,187,502,151,118
525300,1274,325,253,683,168,138,591,157,115
526101,2286,605,479,1219,339,272,1067,266,207
526102,1134,299,229,587,148,120,547,151,109
526201,2288,623,463,1203,320,233,1085,303,230
526202,2702,676,521,1437,351,266,1265,325,255
526301,2347,719,573,1250,377,299,1097,342,274
526302,2593,656,545,1359,330,269,1234,326,276
550900,939,222,178,519,131,100,420,91,78
551200,1857,459,370,1048,259,207,809,200,163
551300,1396,445,335,767,244,187,629,201,148
551900,745,205,169,418,112,97,327,93,72
552000,1626,353,285,952,216,172,674,137,113
552100,580,161,148,332,102,92,248,59,56
552200,602,153,118,335,78,66,267,75,52
552300,1386,312,257,766,192,149,620,120,108
552400,1729,479,397,944,256,209,785,223,188
560400,638,172,134,372,101,75,266,71,59
560500,1017,173,130,569,95,72,448,78,58
560600,604,133,128,352,87,75,252,46,53
561000,727,161,121,410,88,66,317,73,55
561100,512,111,87,292,62,48,220,49,39
561200,682,189,137,388,121,81,294,68,56
561400,2287,679,548,1390,431,335,897,248,213
561500,1443,446,365,883,290,231,560,156,134
561600,1240,278,215,712,150,115,528,128,100
561700,395,92,77,212,44,38,183,48,39
